Topic 0: Bacteroidaceae Alcaligenaceae Bacteroidaceae Alcaligenaceae Bacteroidaceae Bacteroidaceae Rikenellaceae Alcaligenaceae Bacteroidaceae Rikenellaceae 
Topic 1: Lachnospiraceae Prevotellaceae Bacteroidaceae Bacteroidaceae Rikenellaceae Bacteroidaceae Prevotellaceae Bacteroidaceae Bacteroidaceae Prevotellaceae 
Topic 2: Bacteroidaceae Rikenellaceae nan Lachnospiraceae Lachnospiraceae Lachnospiraceae nan Bacteroidaceae Bacteroidaceae Lachnospiraceae 
Topic 3: Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Alcaligenaceae Bacteroidaceae 
Topic 4: Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Lachnospiraceae Lachnospiraceae Bacteroidaceae Veillonellaceae Bacteroidaceae Bacteroidaceae 
Topic 5: Bacteroidaceae Prevotellaceae Prevotellaceae Prevotellaceae Verrucomicrobiaceae Ruminococcaceae Rikenellaceae Bacteroidaceae nan Bacteroidaceae 
Topic 6: Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae nan nan Ruminococcaceae Bacteroidaceae Lachnospiraceae 
Topic 7: Bacteroidaceae Alcaligenaceae Veillonellaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae 
Topic 8: Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Rikenellaceae Bacteroidaceae 
Topic 9: Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Porphyromonadaceae Rikenellaceae Bacteroidaceae 
Topic 10: Alcaligenaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Bacteroidaceae Lachnospiraceae Rikenellaceae Bacteroidaceae Bacteroidaceae 
